"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","PRCP","SNOW","SNWD","TMAX","TMIN","Date","DLY.TAVG.NORMAL","DLY.TAVG.STDDEV","DLY.TMAX.NORMAL","DLY.TMAX.STDDEV","DLY.TMIN.NORMAL","DLY.TMIN.STDDEV","PRCP_CAT1","PRCP_CAT2","PRCP_CAT3","TMAX_CAT1","TMIN_DIFF","TMAX_DIFF"
"USC00425186","LOGAN UTAH ST U, UT US",41.7456,-111.8033,1460,0,0,76,-1.1,-9.4,2018-01-01,-6.44444444444445,-11.9444444444444,-1.61111111111111,-12.1666666666667,-11.3333333333333,-11.2222222222222,"RC1","No rain / no snow","No rain / no snow","LE_00",1.93333333333333,0.51111111111111
"USC00425186","LOGAN UTAH ST U, UT US",41.7456,-111.8033,1460,0,0,127,-5,-16.1,2019-01-01,-6.44444444444445,-11.9444444444444,-1.61111111111111,-12.1666666666667,-11.3333333333333,-11.2222222222222,"RC1","No rain / no snow","No rain / no snow","LE_00",-4.76666666666667,-3.38888888888889
"USC00425186","LOGAN UTAH ST U, UT US",41.7456,-111.8033,1460,0,0,76,1.1,-8.9,2018-01-02,-6.44444444444445,-11.8888888888889,-1.55555555555556,-12.1666666666667,-11.3333333333333,-11.2222222222222,"RC1","No rain / no snow","No rain / no snow","00_30",2.43333333333333,2.65555555555556
"USC00425186","LOGAN UTAH ST U, UT US",41.7456,-111.8033,1460,0,0,127,-9.4,-17.2,2019-01-02,-6.44444444444445,-11.8888888888889,-1.55555555555556,-12.1666666666667,-11.3333333333333,-11.2222222222222,"RC1","No rain / no snow","No rain / no snow","LE_00",-5.86666666666667,-7.84444444444444
"USC00425186","LOGAN UTAH ST U, UT US",41.7456,-111.8033,1460,0,0,102,-7.2,-15,2019-01-03,-6.44444444444445,-11.8888888888889,-1.5,-12.1111111111111,-11.3333333333333,-11.1666666666667,"RC1","No rain / no snow","No rain / no snow","LE_00",-3.66666666666667,-5.7
"USC00425186","LOGAN UTAH ST U, UT US",41.7456,-111.8033,1460,0,0,76,-1.1,-10.6,2018-01-03,-6.44444444444445,-11.8888888888889,-1.5,-12.1111111111111,-11.3333333333333,-11.1666666666667,"RC1","No rain / no snow","No rain / no snow","LE_00",0.733333333333334,0.399999999999999
"USC00425186","LOGAN UTAH ST U, UT US",41.7456,-111.8033,1460,0,0,76,-0.6,-10.6,2018-01-04,-6.38888888888889,-11.8333333333333,-1.44444444444445,-12.0555555555556,-11.3888888888889,-11.1666666666667,"RC1","No rain / no snow","No rain / no snow","LE_00",0.78888888888889,0.844444444444445
"USC00425186","LOGAN UTAH ST U, UT US",41.7456,-111.8033,1460,0,0,102,-3.9,-12.8,2019-01-04,-6.38888888888889,-11.8333333333333,-1.44444444444445,-12.0555555555556,-11.3888888888889,-11.1666666666667,"RC1","No rain / no snow","No rain / no snow","LE_00",-1.41111111111111,-2.45555555555555
"USC00425186","LOGAN UTAH ST U, UT US",41.7456,-111.8033,1460,0,0,76,3.9,-9.4,2018-01-05,-6.38888888888889,-11.7777777777778,-1.38888888888889,-12.0555555555556,-11.3888888888889,-11.1111111111111,"RC1","No rain / no snow","No rain / no snow","00_30",1.98888888888889,5.28888888888889
"USC00425186","LOGAN UTAH ST U, UT US",41.7456,-111.8033,1460,0,0,102,-3.3,-13.9,2019-01-05,-6.38888888888889,-11.7777777777778,-1.38888888888889,-12.0555555555556,-11.3888888888889,-11.1111111111111,"RC1","No rain / no snow","No rain / no snow","LE_00",-2.51111111111111,-1.91111111111111
